t,E,Ux,U0,Ug,Pg,Uk,Pk,TQ,Rs,RX_h1,Tsvp,Tgaz,T_combined,original_t,global_time,file_index,file_name
1304.97,0.549,0.19853,0.268718,0.14028,13.652,0.15448,15.44,2.2515123586091333e-06,88.17628703696812,88.1762870369681,2.1094673669055783,1.8038523291915005,2.1094673669055783,1304.97,14869.957,2,1542.dat
1306.691,0.549,0.198447,0.26876,0.14035,13.659,0.15482,15.474,2.2518642647674906e-06,88.1256490921268,88.1256490921268,2.1108505228889314,1.8047882056234703,2.1108505228889314,1306.691,14871.678,2,1542.dat
1308.471,0.418,0.142016,0.192254,0.14043,13.667,0.1552,15.511,1.6108420611646421e-06,88.1625849137079,88.16258491370789,2.112354430977834,1.8058577926064487,2.112354430977834,1308.471,14873.458,2,1542.dat
1310.193,0.418,0.141933,0.192179,0.14049,13.673,0.15553,15.544,1.6102136573104314e-06,88.14544539205637,88.14544539205637,2.1136946220840502,1.8066599925863704,2.1136946220840502,1310.193,14875.18,2,1542.dat
1311.972,0.286,0.0969557,0.131193,0.14059,13.683,0.15591,15.582,1.0992291579388354e-06,88.20335532383588,88.20335532383588,2.1152365534964552,1.8079970111107921,2.1152365534964552,1311.972,14876.959,2,1542.dat
1313.695,0.286,0.0968723,0.131205,0.14069,13.693,0.15626,15.618,1.099329702555509e-06,88.11942384055486,88.11942384055486,2.1166960317624564,1.8093340528330943,2.1166960317624564,1313.695,14878.682,2,1542.dat
1315.476,0.155,0.0415897,0.0563229,0.14073,13.697,0.1566,15.651,4.7191369920402183e-07,88.12988491359641,88.12988491359641,2.1180327796159095,1.8098688760175572,2.1180327796159095,1315.476,14880.463,2,1542.dat
1317.199,0.155,0.0415557,0.0562648,0.14083,13.707,0.15697,15.688,4.714268956849602e-07,88.14876787974008,88.14876787974009,2.1195303013984033,1.8112059502179074,2.1195303013984033,1317.199,14882.186000000002,2,1542.dat
1318.977,0.024,-0.0175362,-0.0237979,0.14086,13.71,0.15731,15.722,-1.993958944281525e-07,87.94664529223165,87.94664529223165,2.120905234753209,1.8116070770018542,2.120905234753209,1318.977,14883.964,2,1542.dat
1320.699,0.024,-0.0175621,-0.0238284,0.14095,13.719,0.15766,15.757,-1.9965144532886472e-07,87.9638009685921,87.96380096859208,2.1223194421569875,1.8128104698814955,2.1223194421569875,1320.699,14885.686000000002,2,1542.dat
1322.479,-0.107,-0.0712448,-0.0966793,0.14103,13.727,0.15803,15.795,-8.100485965647256e-07,87.95126650689443,87.95126650689443,2.1238535324941767,1.8138801682171999,2.1238535324941767,1322.479,14887.466,2,1542.dat
1324.2,-0.107,-0.0712551,-0.0967254,0.14107,13.731,0.15837,15.828,-8.104348554671136e-07,87.92205754641489,87.9220575464149,2.1251846443326614,1.8144150229531617,2.1251846443326614,1324.2,14889.187,2,1542.dat
1325.981,-0.238,-0.12648,-0.171794,0.14117,13.741,0.15872,15.863,-1.4394134897360706e-06,87.86912232091923,87.86912232091923,2.1265952903245364,1.8157521760336959,2.1265952903245364,1325.981,14890.968,2,1542.dat
1327.703,-0.238,-0.126489,-0.171847,0.14125,13.749,0.15907,15.898,-1.439857561793046e-06,87.84827288227318,87.84827288227316,2.128004766477326,1.81682191520309,2.128004766477326,1327.703,14892.69,2,1542.dat
1329.482,-0.37,-0.181611,-0.247036,0.14133,13.757,0.15942,15.934,-2.0698449937159615e-06,87.74135287974222,87.74135287974222,2.1294532960895727,1.8178916692216782,2.1294532960895727,1329.482,14894.469000000001,2,1542.dat
1331.205,-0.37,-0.1816,-0.247102,0.14139,13.763,0.15977,15.968,-2.0703979891076667e-06,87.71260451149729,87.71260451149728,2.1308202212721956,1.8186939944805889,2.1308202212721956,1331.205,14896.192000000001,2,1542.dat
1332.984,-0.501,-0.23585,-0.321366,0.14146,13.77,0.16011,16.003,-2.6926351068286552e-06,87.59077656005925,87.59077656005925,2.1322262058840242,1.8196300511732273,2.1322262058840242,1332.984,14897.971000000001,2,1542.dat
1334.705,-0.501,-0.235847,-0.321452,0.14152,13.776,0.16049,16.04,-2.693355676581483e-06,87.56622901708496,87.56622901708498,2.133711273496504,1.8204323945304182,2.133711273496504,1334.705,14899.692000000001,2,1542.dat
1336.485,-0.501,-0.23577,-0.32144,0.1416,13.784,0.16085,16.077,-2.6932551319648096e-06,87.54090810104529,87.54090810104529,2.135195050583992,1.8215021986673192,2.135195050583992,1336.485,14901.472,2,1542.dat
1338.206,-0.501,-0.235768,-0.321537,0.14166,13.79,0.16119,16.111,-2.6940678676162548e-06,87.51375673717176,87.51375673717178,2.136557386587237,1.822304561515649,2.136557386587237,1338.206,14903.193000000001,2,1542.dat
1339.989,-0.37,-0.181427,-0.247249,0.14173,13.797,0.16154,16.145,-2.0716296606619188e-06,87.57694651950058,87.5769465195006,2.1379186384672533,1.8232406620633526,2.1379186384672533,1339.989,14904.976,2,1542.dat
1341.711,-0.37,-0.181393,-0.247347,0.14179,13.803,0.1619,16.181,-2.0724507750314206e-06,87.52584243997298,87.52584243997298,2.139358785296827,1.8240430430112347,2.139358785296827,1341.711,14906.698,2,1542.dat
